"Bill of Material for "
"On 01.02.2017 at 21:53:37"

"Comment","Pattern","Quantity","Components"

"100n","0402","2","C5, C6","Capacitor"
"10k","0402","1","R11","Resistor"
"10p","0402","2","C9, C10","Capacitor"
"12k","0402","1","R8","Resistor"
"1M","0402","1","R10","Resistor"
"1u","0402","3","C1, C2, C12","Capacitor"
"1u","0603","1","C3","Capacitor"
"22k","0402","1","R9","Resistor"
"22p","0402","2","C7, C8","Capacitor"
"32.768kHz","Kwarc","1","Q1","Crystal Oscillator"
"330","0402","5","R1, R2, R3, R4, R5","Resistor"
"4.7uF","0402","1","C11","Capacitor"
"510","0402","1","R7","Resistor"
"8MHz","HC-49U","1","Q2","Crystal Oscillator"
"Circuit Breaker","SPST-2","1","CB1","Circuit Breaker"
"Diode 1N4007","DO-41","1","D8","1 Amp General Purpose Rectifier"
"Header 3","HDR1X3","1","P4","Header, 3-Pin"
"Header 4","HDR1X4","1","P1","Header, 4-Pin"
"Header 5","HDR1X5","1","P3","Header, 5-Pin"
"L9637D","SO8_N","1","U3","ISO 9141 Interface"
"MC78M05BDTRK","369A-13","1","U4","Three-Terminal Medium Current Positive Voltage Regulator"
"MCP1703T-3302E/CB","SOT-23A-CB3_N","1","U5","250 mA, 16V, Low Quiescent Current LDO Regulator, 3-Pin SOT-23A, Extended Temperature, Tape and Reel"
"Red","0402","5","D1, D2, D3, D4, D5","Typical RED, GREEN, YELLOW, AMBER GaAs LED"
"RN4020-V/RM","RN4020_ALT","1","U6","Microchip RN4020 Bluetooth"
"STM32F103CBT6","LQFP48_N","1","U1","STM32 ARM-based 32-bit MCU with 128 Kbytes Flash, 48-pin LQFP, Industrial Temperature"
"SW-PB","SPST-2","1","S1","Switch"
